FFQ	122	0	0	1	0	0	0	0	0	0	0	0	0	488	528	3840	3136	7160	1779	540	1827	0	0	0	0	310	194	388	4928	2453	3332	2165	1024	578	6906	2599	7737	4181	30301	37211	97883	0	0
FFQ	123	0	0	0	0	0	0	0	0	0	0	0	0	476	406	3202	2441	3179	1813	513	543	0	0	0	0	256	224	471	13424	11140	10868	1860	895	549	5882	2492	13402	2412	37647	38979	42649	0	0
FFQ	124	0	0	0	0	0	0	0	0	0	0	0	0	566	480	3666	1545	3212	1397	409	414	0	0	0	0	158	38	143	1692	208	1894	1869	932	570	2743	2173	1650	6058	7989	16404	9886	0	0
FFQ	125	0	0	0	0	0	0	0	0	0	0	0	0	809	518	3312	1571	3067	1137	435	246	0	0	0	0	184	53	114	1939	106	1026	2015	1030	578	2438	2393	1292	5278	7769	16673	9779	0	0
FFQ	126	0	0	0	0	0	0	0	0	0	0	0	0	534	458	6089	1816	3315	1271	564	259	0	0	0	0	181	49	142	1701	87	905	6789	869	671	2303	2249	1312	2165	11066	8524	9303	0	0
FFQ	127	0	0	0	0	0	0	0	0	0	0	0	0	485	541	3455	1803	3451	1110	618	226	0	0	0	0	167	63	115	1760	63	881	4111	832	638	1998	2032	1450	2638	10404	13037	10484	0	0
FFQ	128	0	0	0	0	0	0	0	0	0	0	0	0	520	722	3179	1875	3376	1006	489	171	0	0	0	0	148	56	109	1782	86	827	1965	801	784	2272	2234	1357	6175	9098	12464	10620	0	0
FFQ	129	0	0	0	0	0	0	0	0	0	0	0	0	481	563	4228	1736	3502	1000	775	140	0	0	0	0	166	56	146	1695	115	589	2323	724	838	2028	2631	1204	2831	7936	11814	14351	0	0
FFQ	130	0	0	0	0	0	0	0	0	0	0	0	0	627	728	2676	1981	4306	1444	1432	482	0	0	0	0	143	52	114	1721	94	602	1738	761	565	3447	2065	2170	2046	8917	10376	13059	0	0
FFQ	131	0	0	0	0	0	0	0	0	0	0	0	0	668	865	2668	1917	4253	1321	598	155	0	0	0	0	151	77	123	1862	142	756	1681	794	554	3793	2078	1391	1800	9016	11361	13310	0	0
FFQ	132	0	0	1	0	0	0	0	0	0	0	0	0	651	772	2510	1694	3780	961	864	70	0	0	0	0	168	88	174	2305	146	788	1792	1099	624	3349	2691	1493	2334	8631	11784	12387	0	0
FFQ	133	0	0	0	0	0	0	0	0	0	0	0	0	836	1083	3649	1742	3777	2064	619	1168	0	0	0	0	159	90	125	2117	159	872	2130	772	755	2992	2105	2124	1725	7670	9023	13236	0	0
FFQ	134	0	0	0	0	0	0	0	0	0	0	0	0	911	892	2647	1843	3376	1335	370	308	0	0	0	0	170	116	183	2069	143	1137	1500	1235	567	3190	2506	1923	1251	7819	9296	16053	0	0
FFQ	135	0	0	0	0	0	0	0	0	0	0	0	0	876	1064	2572	2141	3467	1840	462	1476	0	0	0	0	165	131	176	1885	190	856	1745	913	649	2777	2373	1888	1671	8228	9189	13944	0	0
FFQ	136	0	0	0	0	0	0	0	0	0	0	0	0	1149	986	2249	1705	3170	1032	162	302	0	0	0	0	195	152	184	1903	189	931	1779	1035	618	3248	2358	1699	1544	9586	9889	14499	0	0
FFQ	137	0	0	0	0	0	0	0	0	0	0	0	0	899	1001	2337	2182	3946	1190	1221	40	0	0	0	0	184	150	266	1960	212	694	1446	849	612	3079	2190	2028	2189	8959	10031	12753	0	0
FFQ	138	0	0	0	0	0	0	0	0	0	0	0	0	1155	1001	2323	2443	4355	1253	1221	68	0	0	0	0	159	209	199	2023	188	697	1492	867	546	2819	2594	1667	1440	8134	9387	14039	0	0
FFQ	139	0	0	0	0	0	0	0	0	0	0	0	0	815	1089	2243	2328	3855	1053	551	32	0	0	0	0	182	172	300	2105	234	810	1420	859	587	2852	2320	1714	1457	7985	9603	15527	0	0
FFQ	140	0	0	0	0	0	0	0	0	0	0	0	0	842	1133	2744	2276	3739	627	236	21	0	0	0	0	172	179	220	2009	274	833	1692	966	1098	1975	2484	1714	3097	8163	10720	12673	0	0
FFQ	141	0	0	0	0	0	0	0	0	0	0	0	0	916	1429	4394	2386	3541	705	275	16	0	0	0	0	182	223	248	2247	311	743	2389	845	1105	1584	2685	1585	2203	9250	11257	9218	0	0
FFQ	142	0	0	0	0	0	0	0	0	0	0	0	0	852	1132	2027	2831	3176	1030	291	41	0	0	0	0	218	224	302	2148	293	754	1476	899	570	2519	2618	1599	1025	7925	9562	16070	0	0
FFQ	143	0	0	0	0	0	0	0	0	0	0	0	0	807	1266	2045	3491	3642	1144	129	61	0	0	0	0	168	225	239	2039	309	623	1211	814	534	2564	2733	1713	1187	8027	9306	15116	0	0
FFQ	144	0	0	0	0	0	0	0	0	0	0	0	0	822	1426	2411	4375	3169	954	169	25	0	0	0	0	202	272	278	2146	344	735	1423	1044	1059	2207	2628	1461	1123	8314	9360	13287	0	0
FFQ	145	0	0	0	0	0	0	0	0	0	0	0	0	912	1397	1745	2702	4348	917	1303	10	0	0	0	0	233	291	324	2339	399	1075	2261	1503	648	4247	2265	2707	863	8699	9024	8871	0	0
FFQ	146	0	0	0	0	0	0	0	0	0	0	0	0	905	1286	1703	2492	3217	1432	522	9	0	0	0	0	206	290	317	2077	333	750	1454	1149	648	3189	2201	2720	1084	9404	10168	11285	0	0
FFQ	147	0	0	0	0	0	0	0	0	0	0	0	0	837	1228	2079	2459	3037	587	52	6	0	0	0	0	187	295	280	2341	365	582	2022	953	1368	2090	4153	4063	2679	8070	9774	8992	0	0
FFQ	148	0	0	0	0	0	0	0	0	0	0	0	0	837	1245	3613	2935	2174	624	43	1	0	0	0	0	204	305	314	2226	377	590	2468	974	1281	1222	3638	1694	1974	11372	8425	9237	0	0
FFQ	149	0	0	0	0	0	0	0	0	0	0	0	0	662	1336	2943	2356	2149	509	33	6	0	0	0	0	274	373	431	2374	411	779	2407	1003	890	1273	3528	1639	1727	11557	9872	7758	0	0
FFQ	150	0	0	0	0	0	0	0	0	0	0	0	0	518	1008	1464	1502	1468	664	89	0	0	0	0	0	246	351	586	2595	583	855	1166	1048	807	1435	2654	2098	1075	7299	10901	13652	0	0
FFQ	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	824	878	3363	543	818	1321	1193	1164	1447	3371	1718	2565	7699	13669	3902	0	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	218	0	0	0	0	0	0	0	0	0	1	7	225	1042	30944	261	1658	1486	2501	8	0	0	1	0	0	16	8	13518	704	98	31371	28042	10590	7524	6351	54310	148716	229194	0	0
LFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	333	1132	30737	200	8581	77	1317	13	0	0	0	2	3	33	0	8642	1497	376	31451	27585	12234	7367	6907	57189	76404	296713	0	0
LFQ	3	0	0	4	0	0	0	0	0	0	0	0	0	1	1	159	5511	19481	82	6971	127	1292	3	0	0	0	3	1	23	1	9320	1397	579	30634	27893	12459	7905	5924	59178	85397	294448	0	0
LFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	176	2616	27807	575	19761	243	1496	4	0	0	1	4	0	24	0	7967	1447	556	31848	29597	14683	7569	6357	56970	69073	290017	0	0
LFQ	5	0	0	2	0	0	0	0	0	0	0	0	0	1	2	188	2205	33399	186	4381	1006	927	2	0	0	1	0	0	37	0	9543	1372	567	30761	30629	12530	5827	6457	56636	73036	299099	0	0
LFQ	6	0	0	1	0	0	0	0	0	0	0	0	0	3	3	407	9513	23307	2514	2641	846	1835	0	0	0	1	1	0	50	0	3781	735	1694	15267	27953	14366	11579	7785	73074	88914	282524	0	0
LFQ	7	0	0	1	0	0	0	0	0	0	0	0	0	1	30	1883	9115	22918	2858	2713	1756	1711	1	0	0	1	3	2	84	0	3614	4015	1483	20692	22057	12318	12826	40375	58775	190085	159477	0	0
LFQ	8	0	0	2	0	0	0	0	0	0	0	0	0	0	13	2252	13068	12607	2285	3443	393	615	4	0	0	0	9	3	93	0	3938	7014	1685	25192	20170	18342	7554	59926	38533	274820	76833	0	0
LFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	27	3	8545	14982	12038	4158	3339	920	203	1	0	0	0	5	1	85	0	3617	9305	1810	26941	10503	23707	4272	52945	42579	262130	86678	0	0
LFQ	10	0	0	2	0	0	0	0	0	0	0	0	0	29	4	10684	14570	11659	2852	2319	3064	163	3	0	0	1	11	5	171	0	1939	6059	2595	23450	9596	24003	9637	35304	50911	185153	174610	0	0
LFQ	11	0	0	159	0	0	0	0	0	0	0	0	0	2	23	9132	15411	8281	3262	1493	678	135	4	0	0	1	14	2	81	0	3441	3716	1662	26826	18060	20504	8599	32476	62887	277387	74558	0	0
LFQ	12	0	0	100	0	0	0	0	0	0	0	0	0	4	36	11824	12117	14860	5587	1494	319	714	2	0	0	3	4	4	77	0	3603	5789	1335	31479	20789	17464	9475	26150	49688	193148	162729	0	0
LFQ	13	0	0	182	0	0	0	0	0	0	0	0	0	18	25	5253	1545	20038	1282	1774	480	2048	27	0	0	5	12	11	83	1	89	1885	34	15944	14834	6410	12854	37432	53082	239300	154146	0	0
LFQ	14	0	0	150	0	0	0	0	0	0	0	0	0	39	23	7842	1909	19689	2300	1686	747	2211	26	0	0	4	6	3	85	1	90	3348	25	17394	13786	9278	14179	28941	54501	233143	157388	0	0
LFQ	15	0	0	30	0	0	0	0	0	0	0	0	0	60	18	751	5342	11968	10439	1244	189	3386	20	0	0	3	7	17	72	0	110	196	25	14165	21403	6601	10804	11159	73555	127901	269329	0	0
LFQ	16	0	0	11	0	0	0	0	0	0	0	0	0	62	58	9286	3709	25027	1347	2576	521	1404	25	0	0	6	12	6	82	0	82	439	13	23530	20126	11303	4617	21860	64785	112691	265216	0	0
LFQ	17	0	0	5	0	0	0	0	0	0	0	0	0	35	26	1133	13278	17042	10528	1723	220	3617	35	0	0	7	15	17	113	1	125	301	11	14949	24983	9386	8250	12222	74706	100329	275737	0	0
LFQ	18	0	0	8	0	0	0	0	0	0	0	0	0	59	13	961	21874	10586	3941	1077	296	972	18	0	0	7	7	7	96	0	97	470	10	16584	18239	10764	4689	14403	64102	103583	295931	0	0
LFQ	19	0	0	11	0	0	0	0	0	0	0	0	0	42	8	2371	15059	14964	5242	3159	204	608	10	0	0	8	11	12	117	1	74	4619	48	15779	13394	11501	6692	28423	52382	171246	222809	0	0
LFQ	20	0	0	10	0	0	0	0	0	0	0	0	0	24	16	2457	23063	8302	2257	4700	871	593	36	0	0	16	3	20	124	2	112	2213	33	19578	13751	13730	2411	32613	56169	179684	206006	0	0
LFQ	21	0	0	1	0	0	0	0	0	0	0	0	0	50	26	3268	18130	9567	3777	2781	490	1537	27	0	0	13	5	4	65	2	62	2087	29	17293	20984	7175	4383	34388	55556	187903	199191	0	0
LFQ	22	0	0	5	0	0	0	0	0	0	0	0	0	50	19	11318	8481	13611	11457	4920	655	2441	84	0	0	20	4	9	111	1	85	360	36	19312	14896	15905	8525	16102	58108	90047	292232	0	0
LFQ	23	0	0	9	0	0	0	0	0	0	0	0	0	54	19	1614	10281	4862	7220	2766	370	998	62	0	0	10	5	26	72	4	160	327	14	14336	39095	5579	6508	13918	90568	125100	244817	0	0
LFQ	24	0	0	4	0	0	0	0	0	0	0	0	0	65	17	2530	15239	11194	4547	7121	243	1787	88	0	0	14	9	15	129	3	186	790	24	20981	51948	5987	7447	17373	88875	97803	234375	0	0
LFQ	25	0	0	1	0	0	0	0	0	0	0	0	0	44	10	1431	17884	13050	5172	8264	522	2750	41	0	0	33	5	30	177	15	220	547	13	18065	36995	6527	14081	18220	90767	106729	227201	0	0
LFQ	26	0	0	4	0	0	0	0	0	0	0	0	0	49	14	1690	5282	23947	4837	7708	268	1925	9	0	0	23	8	13	115	5	119	630	110	15220	25093	7067	10575	19421	78610	100959	265093	0	0
LFQ	27	0	0	6	0	0	0	0	0	0	0	0	0	47	22	2007	18622	9074	16697	9002	336	4911	24	0	0	33	7	25	125	1	243	544	25	14915	24277	8579	10344	18179	75880	85046	269823	0	0
LFQ	28	0	0	5	0	0	0	0	0	0	0	0	0	58	22	2129	4514	22693	1242	4280	366	3226	27	0	0	26	9	31	53	7	203	636	148	13617	23555	4798	14004	20188	72958	94432	285567	0	0
LFQ	29	0	0	4	0	0	0	0	0	0	0	0	0	93	38	2219	4701	20882	6134	3874	222	2090	25	0	0	26	9	17	137	5	130	591	199	12546	19048	7609	7164	15931	62385	75890	326825	0	0
LFQ	30	0	0	5	0	0	0	0	0	0	0	0	0	67	25	2576	6502	26409	4662	12382	142	758	22	0	0	17	11	22	115	1	104	613	257	13715	26106	2170	13945	21091	75717	81564	279796	0	0
LFQ	31	0	0	6	0	0	0	0	0	0	0	0	0	75	35	3702	9440	10415	8536	4305	90	1677	15	0	0	27	10	15	77	2	176	727	175	14257	32542	7397	5584	16407	78867	96624	277611	0	0
LFQ	32	0	0	9	0	0	0	0	0	0	0	0	0	76	35	14159	6518	11782	9104	2550	99	1353	11	0	0	20	15	18	97	3	143	736	323	22159	17206	10253	5457	30287	64905	94985	276491	0	0
LFQ	33	0	0	15	0	0	0	0	0	0	0	0	0	64	40	4246	13559	5611	16122	1080	103	3682	11	0	0	27	9	43	51	4	145	410	355	17492	32214	3997	9404	16369	69904	89919	283918	0	0
LFQ	34	0	0	6	0	0	0	0	0	0	0	0	0	65	38	4315	6015	31004	2092	2668	74	9175	9	0	0	26	17	11	111	2	135	1086	367	14788	19806	4879	15144	18474	66038	84023	288426	0	0
LFQ	35	0	0	8	0	0	0	0	0	0	0	0	0	57	29	6223	4350	22438	2409	987	59	4548	4	0	0	26	18	82	122	2	576	3102	111	19554	34784	4545	15185	77812	60757	150295	160709	2	0
LFQ	36	0	0	7	0	0	0	0	0	0	0	0	0	91	34	7206	14573	9644	2364	8787	51	1300	14	0	0	38	16	40	171	5	1096	2382	133	23690	57044	6612	11697	38466	71188	123677	188436	32	0
LFQ	37	0	0	6	0	0	0	0	0	0	0	0	0	94	52	14800	3383	6763	9448	471	25	1398	3	0	0	37	24	37	137	2	1835	4083	156	25373	19433	8249	8610	43086	113914	193661	113689	25	0
LFQ	38	0	0	10	0	0	0	0	0	0	0	0	0	117	34	16943	5515	12446	3300	1787	15	352	3	0	0	26	17	28	145	2	5739	8230	4505	13588	10662	21289	2070	83214	45694	224834	108213	16	0
LFQ	39	0	0	7	0	0	0	0	0	0	0	0	0	173	36	25933	10144	5777	1535	654	8	491	1	0	0	41	16	26	149	3	11983	9003	5568	16086	5521	21563	2222	82574	36633	210119	122524	4	0
LFQ	40	0	0	4	0	0	0	0	0	0	0	0	0	100	34	9959	29399	21345	2123	2640	4	668	0	0	0	22	17	37	109	4	2737	2626	159	22016	26931	12116	2745	31802	69261	149914	182018	4	0
LFQ	41	0	0	13	0	0	0	0	0	0	0	0	0	74	39	17817	4155	13726	1319	563	4	2630	1	0	0	31	17	33	115	11	908	2272	2520	22745	14040	7510	8581	34381	100574	170977	163731	7	0
LFQ	42	0	0	19	0	0	0	0	0	0	0	0	0	80	49	22099	3455	12909	1520	1248	20	653	1	0	0	27	8	32	93	2	583	4656	1559	19345	13642	6641	7886	54455	55447	179155	183210	0	0
LFQ	43	0	0	11	0	0	0	0	0	0	0	0	0	96	54	21444	3440	8620	11950	301	226	4544	0	0	0	20	9	27	133	13	655	760	3302	20167	13551	7651	8929	35311	83234	134986	209360	0	0
LFQ	44	0	0	8	0	0	0	0	0	0	0	0	0	93	62	7072	14447	5884	8711	3875	295	3037	0	0	0	28	7	35	122	18	725	825	3054	11725	18073	7157	9273	18555	69615	92272	293826	0	0
LFQ	45	0	0	5	0	0	0	0	0	0	0	0	0	95	56	6245	17058	10546	8345	847	103	1526	0	0	0	33	14	51	116	20	796	755	2289	9123	22822	7585	6505	16796	69376	82875	304812	0	0
LFQ	46	0	0	11	0	0	0	0	0	0	0	0	0	109	61	4756	6699	14620	7478	1879	170	1627	0	0	0	27	10	33	126	13	898	658	2256	12559	18158	6375	6464	20770	64258	86113	312666	0	0
LFQ	47	0	0	7	0	0	0	0	0	0	0	0	0	110	31	4395	4261	24981	2598	5523	23	1799	0	0	0	39	16	20	131	10	1373	1038	2575	9907	19781	6110	8965	18615	63647	74078	318761	0	0
LFQ	48	0	0	7	0	0	0	0	0	0	0	0	0	103	36	3531	2539	16165	6520	568	7	3783	0	0	0	32	10	46	167	33	1102	753	4284	8818	16805	1603	15141	16698	60192	78603	331248	0	0
LFQ	49	0	0	7	0	0	0	0	0	0	0	0	0	81	27	3468	2070	10299	10521	690	17	2430	0	0	0	37	17	31	130	29	687	644	2878	7038	13511	1647	11133	13464	58049	81917	347972	0	0
LFQ	50	0	0	13	0	0	0	0	0	0	0	0	0	95	53	3518	5944	8364	4991	342	22	1790	0	0	0	38	8	33	154	9	2055	975	717	7830	13806	3678	11299	15896	68013	112422	306729	0	0
LFQ	51	0	0	8	0	0	0	0	0	0	0	0	0	146	345	18593	2871	12918	8104	405	39	1497	0	0	0	34	7	33	173	2	2457	3188	1325	21880	10658	8321	17190	41161	80783	129844	206805	0	0
LFQ	52	0	0	8	0	0	0	0	0	0	0	0	0	90	34	4236	2136	21475	8773	4791	19	2794	0	0	0	51	8	31	181	2	649	607	3101	9181	22592	7713	12652	20061	78711	102470	266416	0	0
LFQ	53	0	0	5	0	0	0	0	0	0	0	0	0	106	36	4537	3021	15294	9782	3265	19	2064	0	0	0	39	20	63	242	7	1195	653	3736	7414	21737	5927	7814	15332	66067	93202	307202	0	0
LFQ	54	0	0	5	0	0	0	0	0	0	0	0	0	112	61	6011	7013	10946	7542	1544	8	1953	0	0	0	52	8	43	204	10	2624	1133	1185	9300	15815	6356	6473	15893	59739	78676	336071	0	0
LFQ	55	0	0	9	0	0	0	0	0	0	0	0	0	108	31	7828	8553	7055	7007	1485	30	1220	0	0	0	35	11	29	218	6	3225	992	1252	9745	15475	6089	5743	25038	54860	75928	336797	0	0
LFQ	56	0	0	7	0	0	0	0	0	0	0	0	0	99	31	9038	3405	25600	1910	3744	51	1453	0	0	0	38	7	31	169	25	1339	926	3522	9864	16562	3816	9703	28546	71524	126461	250892	0	0
LFQ	57	0	0	14	0	0	0	0	0	0	0	0	0	103	92	13633	3721	6410	6444	467	70	2046	0	0	0	48	15	54	334	14	5386	7424	2008	11849	21132	6510	10317	67666	60710	236580	105711	0	0
LFQ	58	0	0	11	0	0	0	0	0	0	0	0	0	288	44	17029	6187	5983	2446	357	43	505	0	0	0	46	8	74	903	7	10881	7502	3291	9632	17489	14854	4545	76184	49491	241810	99134	3	0
LFQ	59	0	0	9	0	0	0	0	0	0	0	0	0	171	548	32713	6577	16891	2905	258	11	274	0	0	0	54	18	50	1188	4	14588	21480	879	12675	23413	11166	6440	61552	49063	143728	162071	5	0
LFQ	60	0	0	7	0	0	0	0	0	0	0	0	0	418	56	28321	9191	10040	1951	1384	37	462	0	0	0	60	19	53	740	8	26084	8528	5328	8275	11367	15198	2082	83342	51830	157783	146158	4	0
LFQ	61	0	0	6	0	0	0	0	0	0	0	0	0	577	53	25562	9038	7661	9608	385	68	2183	0	0	0	57	26	58	529	12	14923	6974	7880	7130	11977	13580	6614	61337	55242	171219	156018	2	0
LFQ	62	0	0	8	0	0	0	0	0	0	0	0	0	149	61	14776	12666	7833	12154	3754	310	2875	0	0	0	44	29	42	472	5	6615	4661	4185	6256	19382	8681	8071	26539	67727	83806	277610	1	0
LFQ	63	0	0	8	0	0	0	0	0	0	0	0	0	111	40	6681	1306	16004	2159	2909	168	323	0	0	0	43	26	138	864	70	2126	3504	5925	3404	66807	1381	7405	14591	116722	103395	212589	1	0
LFQ	64	0	0	5	0	0	0	0	0	0	0	0	0	158	60	7755	2704	13387	4806	3032	1718	291	0	0	0	54	28	121	407	607	5156	8768	8210	4178	115486	5705	3375	68504	91123	107655	115397	1	0
LFQ	65	0	0	12	0	0	0	0	0	0	0	0	0	214	55	15764	8993	5141	15137	601	10351	1055	0	0	0	66	34	103	354	233	22339	6174	15371	2943	43201	9013	10268	68706	85134	120183	127205	1	0
LFQ	66	0	0	6	0	0	0	0	0	0	0	0	0	241	84	26949	13536	4535	13619	317	11347	791	0	0	0	63	31	86	397	230	31371	4586	11949	2414	27535	5955	11840	52492	73951	126432	147882	2	0
LFQ	67	0	0	6	0	0	0	0	0	0	0	0	0	220	101	16504	3575	10992	9221	494	9284	1051	0	0	0	81	31	77	358	150	28082	3683	10906	1977	24494	4073	16741	61548	71734	128124	165119	0	0
LFQ	68	0	0	6	0	0	0	0	0	0	0	0	0	261	85	23028	2475	12358	6927	7398	566	1960	0	0	0	48	39	111	451	126	15025	5055	10500	1669	26051	6756	11017	54089	71142	134419	177053	0	0
LFQ	69	0	0	3	0	0	0	0	0	0	0	0	0	257	100	5019	4013	17717	18775	3888	18491	2384	0	0	0	63	33	79	311	150	3120	2283	12773	1567	36709	1306	13320	15959	70953	83873	255462	0	0
LFQ	70	0	0	2	0	0	0	0	0	0	0	0	0	178	88	4401	2511	27749	7831	6099	10410	1117	0	0	0	77	43	124	394	175	2994	1720	11103	1456	36930	1221	13679	17684	78344	83542	258728	0	0
LFQ	71	0	0	5	0	0	0	0	0	0	0	0	0	131	70	3978	1863	12129	13886	4175	7238	1697	0	0	0	81	61	135	372	145	4456	4753	5219	1411	47558	795	11434	15466	87692	101286	242558	0	0
LFQ	72	0	0	2	0	0	0	0	0	0	0	0	0	139	45	4368	2081	10438	12743	3940	5631	635	0	0	0	63	76	118	394	154	4729	4424	7877	1308	60492	841	10695	12643	92702	101435	230613	0	0
LFQ	73	0	0	2	0	0	0	0	0	0	0	0	0	129	75	3902	1917	12442	15948	8943	5054	452	0	0	0	73	54	146	315	112	5707	4645	7248	1244	35645	790	11806	14221	73252	93005	271434	0	0
LFQ	74	0	0	3	0	0	0	0	0	0	0	0	0	260	72	13113	1761	4948	20731	903	7501	360	0	0	0	69	79	151	624	75	10810	4431	9650	1121	26270	4471	10221	42285	63341	117753	227534	0	0
LFQ	75	0	0	1	0	0	0	0	0	0	0	0	0	394	62	14801	1953	24880	12092	858	12671	257	0	0	0	71	105	132	751	74	11524	5713	11570	1121	31258	6649	12593	48175	73986	114311	182511	0	0
LFQ	76	0	0	3	0	0	0	0	0	0	0	0	0	376	81	15616	2365	14697	8811	3761	5139	265	0	0	0	89	115	176	1191	37	10730	4903	8832	1139	44618	8804	4607	38491	76557	126716	190371	0	0
LFQ	77	0	0	3	0	0	0	0	0	0	0	0	0	243	68	12552	7644	16726	4802	2198	9900	152	0	0	0	89	124	317	4023	60	18782	4575	6066	1380	25548	7005	6372	52125	68803	126659	192243	0	0
LFQ	78	0	0	3	0	0	0	0	0	0	0	0	0	183	81	23946	2234	12137	7248	735	3852	94	0	0	0	102	89	233	3133	37	12127	18415	4704	4942	18760	8965	5450	73996	64407	109058	193490	0	0
LFQ	79	0	0	4	0	0	0	0	0	0	0	0	0	365	111	26795	2511	12547	8172	3248	4101	195	0	0	0	113	116	196	6010	26	11423	16554	7917	3781	17581	19730	4840	59969	89856	140103	132058	0	0
LFQ	80	0	0	2	0	0	0	0	0	0	0	0	0	407	316	25636	2988	15630	2331	2519	3890	100	0	0	0	124	101	202	4521	29	7856	23599	2488	6451	16854	10360	8051	87915	64063	141308	140499	0	0
LFQ	81	0	0	1	0	0	0	0	0	0	0	0	0	783	201	50091	3432	16247	6361	2678	2910	91	0	0	0	192	83	176	9253	36	13773	21689	8550	5500	22813	21269	12636	49208	52402	124165	143623	0	0
LFQ	82	0	0	1	0	0	0	0	0	0	0	0	0	404	188	18159	9498	11473	8093	1279	2728	74	0	0	0	154	86	266	2766	32	6744	15689	3119	3844	34393	9889	5204	22944	102805	134131	174107	0	0
LFQ	83	0	0	2	0	0	0	0	0	0	0	0	0	286	138	14150	2831	17333	8557	4089	734	67	0	0	0	149	89	248	2636	49	6113	12596	3227	3963	26293	8347	7991	44709	76382	163976	163049	0	0
LFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	252	137	25324	2896	16475	7194	11443	1792	172	0	0	0	128	152	243	1720	39	10816	17530	4444	3832	26769	12375	11676	55370	60562	190076	106497	0	0
LFQ	85	0	0	6	0	0	0	0	0	0	0	0	0	245	115	38900	3171	13279	6904	2043	3385	202	0	0	0	136	105	229	1157	43	10903	14617	4428	7660	24949	14506	8837	44274	63751	130663	173325	0	0
LFQ	86	0	0	12	0	0	0	0	0	0	0	0	0	254	111	15009	2151	12889	17644	3054	4679	202	0	0	0	154	92	233	2046	82	54431	24752	3079	5157	22572	3525	10951	125362	56404	89118	113772	0	0
LFQ	87	0	0	4	0	0	0	0	0	0	0	0	0	386	147	42949	2229	13190	12363	2630	3840	78	0	0	0	180	90	250	4290	48	100297	9146	6552	451	22866	10721	4046	92846	49910	72122	115982	0	0
LFQ	88	0	0	3	0	0	0	0	0	0	0	0	0	467	128	41190	2242	17914	2498	3893	455	55	0	0	0	155	102	258	4516	55	47440	54761	5960	1355	19872	4888	7784	89359	52545	83822	125777	0	0
LFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	510	221	31695	1937	7203	5392	3941	1147	34	0	0	0	165	116	411	7918	89	41983	27248	7244	3394	11993	7796	6128	165531	41322	114243	79704	0	0
LFQ	90	0	0	1	0	0	0	0	0	0	0	0	0	741	170	33518	7872	6183	10023	3652	1080	26	0	0	0	167	177	272	17174	73	21953	18067	4963	3681	20011	11508	7554	105361	65906	121440	105657	0	0
LFQ	91	0	0	5	0	0	0	0	0	0	0	0	0	716	195	26764	4444	5318	6122	2888	1089	29	0	0	0	168	153	260	18434	90	17856	9923	5435	2864	15374	9686	7466	85835	59199	148457	138296	0	0
LFQ	92	0	0	2	0	0	0	0	0	0	0	0	0	448	281	24199	3619	18960	17506	8460	6523	26	0	0	0	175	68	503	6884	111	44292	15755	3179	4650	49189	16236	16263	27390	99454	116761	85988	0	0
LFQ	93	0	0	4	0	0	0	0	0	0	0	0	0	525	225	27201	4537	5893	14712	5373	3948	76	0	0	0	225	64	380	7233	116	9749	21554	5728	3768	39900	39230	27193	21331	98601	120451	108774	0	0
LFQ	94	0	0	8	0	0	0	0	0	0	0	0	0	546	194	10580	15642	6881	24817	9712	2589	51	0	0	0	186	83	275	6309	123	8843	8225	4652	743	35826	25540	18937	14674	75244	133010	162908	0	0
LFQ	95	0	0	7	0	0	0	0	0	0	0	0	0	758	594	27363	12795	12608	14499	2506	856	20	0	0	0	326	135	413	15170	96	9111	44602	10037	9255	25352	15437	15400	17144	73281	81278	177347	0	0
LFQ	96	0	0	6	0	0	0	0	0	0	0	0	0	1110	304	26850	5583	32544	8218	10330	1023	13	0	0	0	316	127	404	25972	133	34422	7184	8186	1016	38256	9723	15134	15454	69752	80797	173384	0	0
LFQ	97	0	0	1	0	0	0	0	0	0	0	0	0	487	477	8301	22288	11040	7803	1876	816	3	0	0	0	311	133	397	11963	280	4880	6224	25074	4822	30105	14735	2261	12878	101511	106173	191218	0	0
LFQ	98	0	0	5	0	0	0	0	0	0	0	0	0	370	288	6847	3098	33286	5054	9783	1128	13	0	0	0	273	114	358	9148	94	4593	8176	12587	535	34682	8411	9001	13319	91114	108501	205040	0	0
LFQ	99	0	0	0	0	0	0	0	0	0	0	0	0	456	426	8699	3797	23729	6183	7725	883	8	0	0	0	246	113	346	3804	146	8878	7184	5914	545	32403	3989	12158	13801	85316	101904	236861	0	0
LFQ	100	0	0	1	0	0	0	0	0	0	0	0	0	385	270	6944	2880	16955	12288	2961	1784	4	0	0	0	235	104	263	5345	184	6235	6100	4983	517	39646	6584	8022	11950	93711	102690	234165	0	0
